title,artist,id,snippet_path,proof_snippet,tags
'Round Midnight,,round-midnight,audio/lounge-standards/round-midnight-30.mp3,no,Lounge; Standards; Backing tracks; Vocal
3AM,Matchbox Twenty,3am,audio/contemporary/3am-30.mp3,no,Contemporary; Acoustic guitar
A Fine Romance,,a-fine-romance,audio/lounge-standards/a-fine-romance-30.mp3,no,Lounge; Standards; Backing tracks; Vocal
A Nightingale Sang In Berkeley Square,,a-nightingale-sang-in-berkeley-square,audio/lounge-standards/a-nightingale-sang-in-berkeley-square-30.mp3,no,Lounge; Standards; Backing tracks; Vocal
A Song For You,Donny Hathaway,a-song-for-you,audio/weddings/a-song-for-you-30.mp3,yes,Weddings; Canapés; Romantic
A Thousand Years,Christina Perri,a-thousand-years,audio/weddings/a-thousand-years-30.mp3,yes,Weddings; Ceremony; Romantic
A Whole New World,,a-whole-new-world,audio/weddings/a-whole-new-world-30.mp3,no,Weddings; Backing tracks; Ceremony; Vocal; Romantic
Against All Odds,Phil Collins,against-all-odds,audio/weddings/against-all-odds-30.mp3,no,Weddings; Reception; Romantic
Air on the G String,,air-on-the-g-string,audio/weddings/air-on-the-g-string-30.mp3,no,Weddings; Classical; Instrumental
Alive,Pearl Jam,alive,audio/contemporary/alive-30.mp3,no,Contemporary; Electric guitar; Backing tracks; Voice
All Along the Watchtower,Jimi Hendrix,all-along-the-watchtower-jimi-hendrix,audio/contemporary/all-along-the-watchtower-jimi-hendrix-30.mp3,no,Contemporary; Electric guitar; Backing tracks; Voice
All Along the Watchtower,Jimi Hendrix / Bob Dylan,all-along-the-watchtower-jimi-hendrix-bob-dylan,audio/contemporary/all-along-the-watchtower-jimi-hendrix-bob-dylan-30.mp3,yes,Contemporary; Backing tracks; Feature guitar
All My Life,,all-my-life,audio/weddings/all-my-life-30.mp3,no,Weddings; Reception
All of Me,,all-of-me,audio/lounge-standards/all-of-me-30.mp3,yes,Lounge; Weddings; Standards; Backing tracks; Ceremony; Vocal
Almost Like Being in Love,,almost-like-being-in-love,audio/lounge-standards/almost-like-being-in-love-30.mp3,no,Lounge; Standards; Backing tracks; Vocal
Always On My Mind,,always-on-my-mind,audio/lounge-standards/always-on-my-mind-30.mp3,no,Lounge; Standards; Backing tracks; Vocal; Guitar
Amazing Grace,,amazing-grace,audio/funerals/amazing-grace-30.mp3,yes,Funerals; Memorial; Sacred
Angel Eyes,,angel-eyes,audio/lounge-standards/angel-eyes-30.mp3,no,Lounge; Standards; Backing tracks; Vocal
Angels,Robbie Williams,angels,audio/contemporary/angels-30.mp3,no,Contemporary; Weddings; Acoustic guitar; Voice; Reception
Are You Gonna Be My Girl,Jet,are-you-gonna-be-my-girl,audio/contemporary/are-you-gonna-be-my-girl-30.mp3,no,Contemporary; Electric guitar; Backing tracks; Voice
Are You Gonna Go My Way,Lenny Kravitz,are-you-gonna-go-my-way,audio/contemporary/are-you-gonna-go-my-way-30.mp3,no,Contemporary; Electric guitar; Backing tracks; Voice
